Balance Sheet,Current Assets,Cash and Cash Euivalents,Short term financial investment,Short term Account Receivables,Inventory,Other Current Assets,Non-current Assets,Long term Account Receivable,Fixed assets,Tangible fixed assets - accumulated worp value,Fixed financial leasing assets - accumulated worp value,Invisible fixed assets - accumulated worp value,Commercial advantage,Real Estate Investment,Long term Finacial Investments,Other long term assets,TOTAL ASSETS,Liabilities,Short term Liabilities,Long term Liabilities,Professional Prevention,No different,Owners equity,Expenditures and Other Funds,Owners equity,Benefits of minority shareholders,TOTAL EQUITY,Business results,Gross Sale Revenues,Deduction revenues,Net Sales,Cost of goods sold,Gross profit,Financial activities Revenues,Financial Expenses,Selling Expenses,Managing Expenses,Net Profit from Operating activities,Other incomes,Other Expenses,Other profits,Total profit before tax,Corporate Income Tax Expenses,Corporate Income Tax Expenses,Corporate Income Tax Expenses,Profit after Corporate Income Tax,--- The main accounts ---,EBITDA,Last Price of Quarter
 2023,3179401,122596,277428,1171499,1471268,136609,,11939,1382618,0,0,0,69314,626766,0,73944,6592663,2851737,1964176,887560,636,0,3740927,0,3740927,0,6592663, 2023,357273,4,357269,252243,105026,7092,24080,33018,19385,35634,3173,596,2577,38211,13538,12924,614,24673,,0.00,22.20
 2022,3661095,407902,382865,1248380,1467663,154284,,11742,1397521,0,0,0,73727,630920,0,75005,7060484,3341340,2426013,915328,636,0,3719143,0,3719143,0,7060484, 2022,2549016,17,2548999,1636738,912260,51735,129369,272694,97575,464358,25795,16500,9295,473652,163137,140235,22902,310515,,0.00,17.80
 2022,3661095,407902,382865,1248380,1467663,154284,,11742,1397521,0,0,0,73727,630920,0,75005,7060484,3341340,2426013,915328,636,0,3719143,0,3719143,0,7060484, 2022,1496939,0,1496939,958046,538894,11114,35214,198111,37140,279542,14483,12029,2454,281997,82771,78974,3797,199225,,0.00,17.80
 2022,3877893,318570,748765,1174591,1463119,172847,,11744,1408995,0,0,0,78063,720751,1600,76093,7846335,4296588,3075960,1220627,0,0,3549747,0,3549747,0,7846335, 2022,333917,0,333916,198562,135355,11957,30743,33151,21303,62115,4434,1976,2458,64573,22866,18595,4271,41707,,0.00,21.70
 2022,3387816,255250,776598,1245493,923325,187150,,11739,1415515,0,0,0,82457,725512,1600,77491,7513754,4005174,2762725,1242449,0,0,3508580,0,3508580,0,7513754, 2022,425343,4,425340,281935,143404,21372,32251,35674,19504,77347,4195,1571,2624,79971,36040,24624,11416,43931,,0.00,26.30
 2022,2618461,216529,627698,968743,592298,213192,,15666,1429509,-336100,0,-17079,86850,730239,1600,79930,7077452,3518584,2203713,1314871,0,0,3558868,0,3558868,0,7077452, 2022,292816,13,292803,198195,94608,7293,31161,5758,19628,45353,2682,923,1758,47112,21460,18042,3418,25652,,0.00,64.00
 2021,2564423,319051,580198,847528,606708,210938,,8675,1444168,-320739,0,-16019,91244,734957,1600,83395,7050052,3515699,2192825,1322874,0,0,3534352,0,3534352,0,7050052, 2021,901811,0,901811,784864,116946,329523,147725,31170,164782,102793,17829,1690,16139,118932,36792,32735,4057,82140,,0.00,70.90
 2021,2554614,309221,580198,847550,606708,210938,,8675,1444168,-320739,0,-16019,91244,734957,1600,83395,7040243,3505891,2183017,1322874,0,0,3534352,0,3534352,0,7040243, 2021,495420,0,495420,379697,115723,301872,50006,27053,49663,290873,-440,684,-1124,289749,-16013,15028,-31040,305761,,0.00,70.90
 2021,2138736,59321,438198,701847,702116,237254,,8675,1462514,-296001,-7495,-14771,294571,785019,1600,84074,7011718,3783009,2066755,1716254,0,0,3228709,0,3228709,0,7011718, 2021,123788,0,123788,110162,13626,11166,33149,986,38585,-47928,768,448,320,-47607,11225,3360,7864,-58832,,0.00,10.30
 2021,2178335,84194,550198,682183,625803,235956,,8675,1473734,-281698,-7147,-13456,303147,796446,1600,89954,7077319,3791211,2077204,1714007,0,0,3286108,0,3286108,0,7077319, 2021,140623,0,140623,169453,-28830,7351,31388,840,45412,-99120,1792,-45,1837,-97283,29426,6982,22444,-126709,,0.00,9.90
 2021,2303814,112054,536198,736989,682342,236231,,9318,1489537,-267091,-6799,-12437,313713,801583,1600,97023,7203002,3785346,1881049,1904297,0,0,3417656,0,3417656,0,7203002, 2021,142022,,142022,125594,16428,9134,33181,2291,31122,-41032,15709,603,15106,-25926,12154,7365,4789,-38080,,0.00,12.10
 2020,2504609,228678,479698,893550,665079,237603,,8446,1346033,-254243,-6451,-11604,324278,813075,1600,102133,7438270,3981925,2101353,1880572,0,0,3456345,0,3456345,0,7438270, 2020,1323835,0,1323835,966007,357827,98001,134144,76648,241153,3883,13121,32234,-19113,-15231,88071,66847,21223,-103301,,1.31,12.50
 2020,2504609,228678,479698,893550,665079,237603,,8446,1346033,-254243,-6451,-11604,324278,813075,1600,102133,7438270,3981925,2101353,1880572,0,0,3456345,0,3456345,0,7438270, 2020,641866,,641866,496806,145061,40002,23496,37412,56623,67532,2560,23202,-20643,46889,47470,38465,9005,-580,,1.31,12.50
 2020,2767094,169719,498698,1057208,794988,246482,,28684,1348046,-240242,-5925,-10647,337608,858875,1600,106854,7542974,3998801,2064369,1934432,0,0,3544172,0,3544172,0,7542974, 2020,264068,,264068,147755,116313,19722,30851,13429,56264,35490,6808,8332,-1525,33966,26670,19110,7560,7296,,1.08,7.30
 2020,3151651,129959,962698,964761,848816,245418,,8955,1363118,-225361,-5389,-9930,351035,864329,1600,114054,7843525,4306749,2441501,1865248,0,0,3536775,0,3536775,0,7843525, 2020,129963,,129963,150177,-20215,18644,37387,11454,59576,-109987,2761,356,2405,-107583,4577,-50,4627,-112160,,0.99,7.30
 2020,3330274,154096,958698,1047275,914105,256099,,8459,1374909,-211206,-4853,-9198,364429,874038,1600,123957,7962807,4313912,2690970,1622942,0,0,3648896,0,3648896,0,7962807, 2020,287938,,287938,171269,116668,19633,42411,14352,68691,10848,992,343,649,11497,9354,9323,31,2143,,1.00,5.90
 2019,3511812,200976,1023698,1013249,1021560,252329,,7459,1390592,-196313,-4317,-8488,377789,868274,1600,132588,8037362,4371607,2654414,1717193,0,0,3665754,0,3665754,0,8037362, 2019,4550482,427,4550055,3110632,1439423,71894,159435,210210,294498,847175,11214,24030,-12816,834359,226552,217529,9023,607806,,0.74,9.40
 2019,3511812,200976,1023698,1013249,1021560,252329,,7459,1390592,-196313,-4317,-8488,377789,868274,1600,132588,8037362,4371607,2654414,1717193,0,0,3665754,0,3665754,0,8037362, 2019,1383722,,1383722,1024581,359141,22685,37962,36538,49019,258306,-366,-1005,639,258945,86519,68156,18363,172427,,0.74,9.40
 2019,4718888,631305,822500,1415807,1626887,222390,,6666,1404567,-180843,-3781,-7740,144014,900339,1600,301905,8307198,4828302,3087778,1740523,0,0,3478896,0,3478896,0,0, 2019,643333,0,643333,445625,197708,14518,35102,33961,63722,79440,3504,7844,-4339,75101,20870,24111,-3240,69163,,0.80,10.00
 2019,4827617,389981,789314,1416089,2026035,206198,,6544,1366181,-165621,-3245,-7042,151947,962010,1600,292829,8222883,5708737,4235481,1473256,0,0,2514146,0,2514146,0,0, 2019,1481950,425,1481524,901858,579666,15943,47658,71079,96338,380535,4519,16569,-12050,368484,91567,81695,9872,337946,,1.09,10.12
